id,province_name,city_name,dealer,customer_code,ERP_connection,sell in sales name,2TL Bosch sales name,sell out sales name,warehouse_type,warehouse_name,warehouse_code,warehouse_address,KZ_coverage_tag,GBB_category_tag
,浙江省,宁波市,江苏康众汽配有限公司,KZ,是,,,,康众门店,慈溪附海仓库,,浙江省宁波市慈溪市附海镇观附公路1472号,,
,上海市,上海市,江苏康众汽配有限公司,KZ,是,,,,康众门店,上海浦江仓库,,上海市上海城区闵行区浦江镇兴达路325号,,
,浙江省,温州市,江苏康众汽配有限公司,KZ,是,,,,康众门店,温州蒲州街道仓库,,浙江省温州市龙湾区温州大道228号,,
,浙江省,衢州市,江苏康众汽配有限公司,KZ,是,,,,康众门店,衢州开化仓库（合作）,,浙江省衢州市开化县芹北路香溢人家10号楼88-8,,
,安徽省,蚌埠市,江苏康众汽配有限公司,KZ,是,,,,康众门店,蚌埠淮上仓库,,安徽省蚌埠市淮上区现代农资农机大市场A3号楼16号,,
,安徽省,亳州市,江苏康众汽配有限公司,KZ,是,,,,康众门店,涡阳常青路仓库（合作）,,安徽省亳州市涡阳县常青路康乐小区14号,,
,安徽省,合肥市,江苏康众汽配有限公司,KZ,是,,,,康众门店,合肥芙蓉路仓库,,安徽省合肥市蜀山区莲花社区莲花路1081号泉峄汽车内康众汽配,,
,北京市,北京市,江苏康众汽配有限公司,KZ,是,,,,康众门店,蚌埠涂山路仓库,,安徽省蚌埠市禹会区涂山路八巷东第4、5号门面,,
,浙江省,温州市,江苏康众汽配有限公司,KZ,是,,,,康众门店,温州永嘉仓库,,浙江省温州市永嘉县永嘉县瓯北塘头村中兴路25号,,
,安徽省,合肥市,江苏康众汽配有限公司,KZ,是,,,,康众门店,肥东新安江路仓库,,安徽省合肥市肥东县肥东县古河路与柳孜路交叉口好社惠商贸有限公司院内康众汽配,,
,北京市,北京市,江苏康众汽配有限公司,KZ,是,,,,康众门店,天猫养车仓库,,北京市北京城区东城区1111,,
,浙江省,宁波市,江苏康众汽配有限公司,KZ,是,,,,康众门店,余姚泗门仓库（合作）,,浙江省宁波市余姚市临山镇湖堤加油站旁（原黄金世纪大酒店对面）,,
,浙江省,温州市,江苏康众汽配有限公司,KZ,是,,,,康众门店,温州鹿城仓库,,浙江省温州市龙湾区温州大道228号A幢4楼康众汽配,,
,安徽省,蚌埠市,江苏康众汽配有限公司,KZ,是,,,,康众门店,怀远禹王西路仓库,,安徽省蚌埠市怀远县禹王中路，老西门汽车站对面伟诚名车院内-康众汽配,,
,安徽省,合肥市,江苏康众汽配有限公司,KZ,是,,,,康众门店,合肥南翔仓库,,安徽省合肥市,,
,安徽省,合肥市,江苏康众汽配有限公司,KZ,是,,,,康众门店,庐江东升路仓库（合作）,,安徽省合肥市庐江县庐江县东升路58号康众汽配,,
,浙江省,宁波市,江苏康众汽配有限公司,KZ,是,,,,康众门店,宁波鄞州TDC仓库,,浙江省宁波市鄞州区下应街道土桥村潘火桥村(凤起路7号),,
,安徽省,芜湖市,江苏康众汽配有限公司,KZ,是,,,,康众门店,繁昌龙亭路仓库,,安徽省芜湖市繁昌区安定东路政通汽车服务中心名骏车业内,,
,安徽省,芜湖市,江苏康众汽配有限公司,KZ,是,,,,康众门店,芜湖中山南路仓库,,安徽省芜湖市弋江区中山南路中南建材城,,
,安徽省,宣城市,江苏康众汽配有限公司,KZ,是,,,,康众门店,宁国青龙西路仓库,,安徽省宣城市宁国市双龙路御景华庭3幢1003.1004,,
